Tshz2
Vwc2l
Slc17a7
Nxph3
Prr16
Nrn1
Sv2b
Pcsk5
Samd5
Nfix
Lmo3
Cbln2
Sulf2
Prickle1
Sox5
Adora1
Bcl11b
Mgat4c
Cdh11
Grik1
Bcl11a
Rasgrp1
Pdzrn3
St3gal1
Sntb1
Neurod6
Nr4a2
Satb1
Scn1b
Tox
Fezf2
Cntn4
Sgcd
Dab1
Sgcz
Cntn6
Tcf4
Cntnap4
Ptpru
Hs3st4
Gm28905
Sema5b
Dmd
Runx1t1
Olfm3
Lypd1
Luzp2
Arap2
Grm8
Spon1
Egfem1
Slc24a2
Chsy3
Ptprd
Grin2a
Pcsk2
Itpr1
Osbpl1a
Mcc
Stard5
Fut9
Il1rapl2
Neto2
Dcc
Kcnip1
Asic2
Ncam2
Nrg1
Ak5
Cacna2d1
Unc13b
Kcnmb4
Ldb2
Zmat4
Zbtb16
Chrm3
Khdrbs2
Xylt1
Lmo4
Spock1
Frmpd4
Cck
Nfib
Etv1
St6galnac5
C1ql3
Gda
Ccn3
Car10
Stum
Pde1a
Vxn
Mpped1
Cdk14
Rorb
Mef2c
Cntn5
Gpc6
Camk2n1
Syn2
Stx1a
Tafa1
Gng13
Gm49678
Rgs4
Hs6st3
Epha4
Kcnq3
Pcp4
Cntnap5a
Cnksr2
Nptxr
Nell2
Nrgn
Rapgef5
Kcnip4
Cobl
Slc30a3
Shisa4
Lingo1
Scube1
Pcdh15
Cpne4
Zeb2
Slit3
Cnr1
S100b
Snca
Mical2
Kcnb2
Khdrbs3
Fxyd6
Robo2
Neurod2
Hs3st2
Camk4
Cnih3
Sorcs1
Inka2
Ptk2b
Cdh12
Etl4
Egr3
Satb2
Cacna2d3
Unc5c
Kcnb1
Stmn1
Asap1
Ptprt
Dkk3
Clstn2
Ptprk
Cacng2
Hpca
Osbpl3
Cadps2
Cabp1
Cdh10
Il1rapl1
Pde8b
Kcnq5
Brinp3
Kcnh1
Gm11549
Fstl4
Bdnf
Rbfox3
Sorcs3
Pcdh10
Kcnh7
Trhde
Kcnk2
Id2
Kctd16
Fhod3
Gria3
Ier5
Arc
Egr1
Rprml
Rasgef1b
Diras2
Mmp17
Ankrd33b
Tmem178
Igsf21
Sema3e
Thsd7b
Rxfp1
Cobll1
Nfia
Ipcef1
Sdk2
Mctp1
Zfpm2
44621
Nnat
Galnt18
Ntrk3
Grm3
Nos1ap
Meis2
Adgra1
Tbr1
Grik3
Tle4
Shisa9
Ano3
Galnt14
Parm1
Dscaml1
Caln1
Gas7
A830018L16Rik
Adcy2
Ablim1
Nr2f1
Gm26871
Grik4
Alcam
Sema3c
Gng12
Sel1l3
Foxp2
Hivep1
Efhd2
Fat3
Sema5a
Serpini1
Gsg1l
Elavl2
Trabd2b
Nptx1
Chl1
Slit1
Flrt2
Tshz3
Kit
Cdh9
Neto1
Htr1f
Cplx3
Kcnip3
Cryab
Ntm
Dlc1
Fam155a
Dscam
Elavl4
Nwd2
Efr3a
Igfbp5
Lingo2
Sphkap
Cdh18
Stmn2
Slc8a1
Slc1a2
Dpp10
Gnas
Hlf
Nrep
Rspo2
Tmem163
Pou6f2
Arhgap6
Nrp1
Kcnab1
Prph
Tiam2
Mlip
Epha3
Ccn2
Sdk1
Pappa2
Col19a1
6530403H02Rik
Crim1
Tmem108
Oprm1
Nxph4
C130073E24Rik
Htr2a
Fam163b
Rai14
Ncald
Ppm1e
Tmem132d
Mast4
Nrp2
Tenm3
Inpp4b
Ptprg
Adcy1
Kcnj6
Nav2
Vsnl1
Olfm1
Galnt9
Shisa6
Nrip3
Lypd6b
Sertm1
Brinp2
Sema6d
Unc5d
Rph3a
Atp2b4
Moxd1
Rgs12
Lypd6
Reln
Sulf1
Ptn
Rgs6
Syt7
Rprm
Arpp21
Trbc2
Igfbp4
Me3
Pdzrn4
Iqgap2
Sparcl1
Myl4
Htr2c
Plcxd3
Pde4b
Kcnt2
Chrm2
Trp53i11
Frmd5
Rnf152
Tmem200a
Trhr
Cntn3
Ildr2
Kirrel3
Kcnj3
Thrb
Chgb
Il11ra1
Gpr26
Nxph1
Wls
Trpc3
Ano4
Brinp1
Plcxd2
Col12a1
Ephx4
Ctxn1
Sorl1
Pou3f1
Cdh20
Fbn2
Bhlhe22
Col23a1
Fam81a
Pcdh11x
Wipf3
Cd34
Ociad2
Rasgrf2
Mpped2
Chn2
Sh3rf3
Edil3
Hcn1
Nrsn1
Cplx2
Sorcs2
Gpm6b
Zfp385b
Gabrg3
Ryr2
Basp1
Dkk2
Unc13c
Vstm2a
Tmtc1
Ypel3
Sncb
Npsr1
Cntnap5b
Cpne8
Adcy8
1110008P14Rik
Rps7
Rpl37
Rps20
Rps8
Rpl22l1
Pantr1
Thy1
Necab1
Grp
Ly6g6e
Gpc5
Fstl5
Slc17a6
Ryr3
Tmsb4x
Mt1
Npas2
Inf2
9130024F11Rik
Igfbp6
Cap2
Runx2
Pex5l
Baiap2
Grm7
Dlgap2
Bmpr1b
Prss12
Gria1
Cdh13
Csmd2
Grm5
Gabbr2
Kalrn
Tenm1
Pcdh17
Csgalnact1
Prkd1
Hs6st2
Grid1
Hs3st5
Cdh6
Enc1
Camkv
Sez6
Nr3c1
Ngef
Plcl1
Pitpnc1
Chst11
Epha7
Kcnh8
Cyp26b1
Pamr1
Epha6
Camk2a
Prkcg
Ldha
Gabrb1
Epha5
Lrrtm4
Lrrtm3
Schip1
Hpcal4
Psd3
Gap43
Slc35f3
Etv5
Chst9
Cxcl14
9630002D21Rik
Gm19410
Dgkg
Tenm2
Tnr
Dlgap1
Ndst3
Pam
Rasl10a
Itga8
Cacng3
Kcnd2
Grm1
Syt1
Gm2164
Lcp1
Slit2
Ripor2
Efna5
Pdgfc
Grip1
Slc35f4
Ikzf2
Cacna1e
Pcdh19
Pde2a
Celf2
Ccser1
Phactr1
Garnl3
Gm10635
Lrrc7
Grin2b
Plcb1
Prkg1
Prkcb
Pde4d
Fgf14
Nav3
Anks1b
Tmod1
Mitf
Fbxl7
Tmem132b
Svil
Galntl6
Mgll
Rgs5
Gm40518
Rspo3
Fam135b
Gm20754
Rab3b
Ddah1
Sh3gl2
Dclk1
Celf4
Mdga2
Csmd1
Mmp16
Nrg3
Adgrb3
Map1b
Pgm2l1
Rcan2
Myt1l
Kcnma1
Nrxn1
Pcdh9
Nkain2
Srcin1
Napb
Nrxn3
Ttc9b
Snap25
Rims1
Dlg2
Negr1
Agbl4
Usp46
Mllt11
Ctnnd2
Rbfox1
Pbx1
Sntb2
Tcerg1l
Homer2
Tenm4
A230006K03Rik
5730522E02Rik
Ctnna3
Fmn1
Opcml
Ralyl
Fstl1
Nlgn1
Grik2
Rnf227
Serp2
Adgrl3
Ctnna2
Rora
Auts2
Pls3
Pvt1
Rmst
Ror1
Col8a1
Gm2516
Atp10a
Gabra5
Kcng1
Gm45323
Trpm3
Bmp3
Galnt10
Drd1
Dpyd
Klf9
Ankrd35
Mctp2
Nppc
Crym
Ephb1
Gm30382
B3galt1
Adamtsl1
Grid2
Prss35
Zic1
Glp1r
Clic4
Prkcd
Ndnf
Nkain3
Prlr
Ano2
Man1a
Id4
Ano1
Trpc4
Npffr1
Gng2
Phactr2
Zic5
Nxn
Necab2
Zfhx3
Dapk1
AI593442
Col25a1
Myo5b
Nr3c2
Sowaha
Kif5c
Dock4
Lzts1
Dgkb
Matn2
Sox1ot
Cacna2d2
Cacnb2
Sst
Nbl1
Prdm16
Zfp521
Sv2c
Rbms1
Gfra1
Ptpn3
Pld5
Cdh8
Lin7a
Slc35f1
Cadm1
Hdac9
Dner
Sox1
Mkx
Sp9
Ntng1
Wfs1
Ghr
Dchs2
Ankfn1
Pbx3
Zfp462
Thsd7a
9530059O14Rik
Pea15a
Mir99ahg
Zdbf2
Col15a1
Htr1b
Gfra2
Six3
Dgkh
Klhl1
Plxna4
Slc18a2
Gabrg1
Pcdh7
Ppp2r2b
Mob3b
Hunk
Palmd
Stac2
Met
Cdh7
Ust
Myo10
Lbhd2
Pdzd2
Whrn
Lrrc10b
2010300C02Rik
Gpr88
Trpc6
Tmem158
C130074G19Rik
Pax6
Nts
Dgkk
Zfp804b
Kctd8
Adarb2
Fign
Gpr101
C130071C03Rik
Ecel1
D030068K23Rik
Prdm12
Rtl4
Sox2ot
Calb1
Pde7b
Myh7
Cpne7
Maml3
Mir124-2hg
Hpcal1
Ccnd2
Utrn
Trpc5
Vat1l
Nos1
Slc32a1
Gm14204
Gad1
Nell1
Stxbp6
Slc2a13
Angpt1
Cd24a
Pou3f2
Ptchd4
Glra3
Cpne5
Baiap3
Slc6a1
G630016G05Rik
Ptchd1
Pdlim5
Plxdc2
Isl1
Tafa2
Plch1
Zfp536
A330102I10Rik
Efnb3
Fat1
Scn5a
Sox6
Alk
Cntnap5c
Gucy1a1
Sema3a
Kcnc4
Stk32b
Vgf
Kcnmb2
St8sia4
Stac
Ptprm
Sema6a
9330158H04Rik
4930555F03Rik
Tmcc3
Foxo1
Th
Rgs8
Gm45341
Slco3a1
Kcnn3
Dpf3
Cntnap3
Fam20a
Kcnk9
Slc9a9
6330411D24Rik
Ap1s2
Dach1
L3mbtl4
Gm44593
Col11a1
Arx
Gm15398
Gm32647
Aldh1a3
Dlx6os1
Six3os1
Grin3a
Sox11
Erbb4
Syndig1
Glra2
Kcnk10
Specc1
Ccnd1
Zfp503
P2ry1
Islr2
AW551984
Ret
Syt16
Cbfa2t3
Klhl14
Marcksl1
Ar
Scn3b
Lgi2
Gm48003
B230209E15Rik
Kcnf1
Klf3
Sgpp2
Iah1
Rxrg
Gad2
Nrsn2
Spock3
Nhs
Zeb1
Camk2d
Zcchc12
Xkr6
Sp8
Dock10
Robo1
Esrrg
Zfp804a
Gnal
Pde3a
Dlx6
Rbms3
Rgs10
Cacna1a
Timp2
Ccdc141
Ptprz1
Rerg
Rgs7
Ankrd63
Lhfpl3
Fos
Sox2
Spats2l
Gabra1
Gabrb2
Prmt8
Lgi1
Bicc1
St8sia6
Sez6l
Serpine2
Elmo1
Zic4
Kcnip2
Ndst4
44623
Fgd5
Rasd1
Rgs2
Gm10754
Rasgrf1
Synpr
Chst15
Fam107a
Htr4
Peg10
Klhl13
Dbpht2
Lmo2
Dgki
Slc24a3
Egr4
Cds1
Zic3
Megf11
Synm
Homer3
Vstm2l
Fam210b
Dlx1
Npy2r
Tmem132c
Syt6
Eya4
Prkca
Gm38505
Prkce
Gpc3
Sall3
Igfbpl1
Gabra2
Cadps
Rapgef4
Sipa1l1
Adra1a
Pnoc
Cep112
Wnt5a
Calb2
Kitl
Tmeff2
Ngb
Dach2
Plppr1
Thsd4
Chd7
Samd12
Csmd3
Nap1l5
Ctxn2
Ptpro
Cdh23
Ntrk2
Slc12a5
Prickle2
Pak3
Ddn
St18
Gng4
Cdh4
Stxbp5l
Lratd1
Rab3c
Lmo7
A330008L17Rik
Hopx
Elfn1
Akap5
Cers6
Junb
Nebl
Galnt17
Nckap5
Gm32828
Gpr149
Gm32442
Myo16
Pde1c
Dlk1
Trpc7
Lama3
Fgf13
Frmpd3
Aff2
Htr7
Cacng5
Col6a3
Gm29478
Shisal1
Tmem255a
Cpa6
9530026P05Rik
Pard3b
Gm4876
Adra2a
Tmtc2
Rtn4rl1
Itpka
Diaph2
Fras1
Tmeff1
Sh3kbp1
1700016P03Rik
Cartpt
Sorbs2
Tll1
Abi3bp
C1ql1
Inhba
Deptor
Maml2
Ntng2
Epb41l2
Cplx1
Tanc1
Otof
Ajap1
Filip1
Rgcc
Gulp1
Htr1a
Pcdh20
Pcdh8
Tshz1
Ell2
Ntn1
Gm15155
Gabra4
Gprc5b
Pcp4l1
Mapk4
Syt13
Kcnd3
Kcnn2
Kcna1
Zfhx4
Lhfp
Tac1
A830019P07Rik
Oxtr
Zfp423
Pip5k1b
Drd2
Ppp1r1b
Adora2a
Pmepa1
Syndig1l
Lrrk2
Gm49906
Rarb
Tgfa
Penk
Slc4a4
Zswim6
Actn2
Scn4b
Rgs9
Rasd2
Nr4a1
Frmd4b
Itga9
Gpr6
Bach2
Mro
Nrcam
Gpr158
Fam189a1
Gprin3
Gm4258
Ramp1
Casz1
Mme
Agtr1a
4930452B06Rik
Dusp6
Zfp608
Aff3
Gcnt2
Jcad
Sh3rf2
Dusp14
Plk2
Rnd3
Nptx2
Baz1a
Coch
Npas4
Hbegf
Clmp
Arhgap10
Stk32a
Tesc
Acvr1c
Rasgrp2
Ablim2
Synpo2
Gli3
Meis1
Nt5e
Pdyn
Strip2
Myo3b
Ebf1
Gpr155
Gng7
Nr4a3
Tmem35a
Pcsk1
Peli1
Fosl2
Ubash3b
Fosb
Cdkn1a
Rgs20
Lhx6
Maf
Pou3f3
Gm12068
Mn1
Gm3764
Nacc2
Bmper
Kcnc2
Gm40663
Afap1
Piezo2
Arhgap36
Gabrq
Klhl5
Foxg1
Gm45194
Sh3bgrl
Gm29683
Zbtb7c
St6galnac3
Mtus2
Tmem164
Nr2f2
