GABA_1
GABA_10
GABA_11
GABA_12
GABA_13
GABA_14
GABA_15
GABA_16
GABA_17
GABA_18
GABA_19
GABA_2
GABA_20
GABA_21
GABA_22
GABA_23
GABA_24
GABA_25
GABA_26
GABA_27
GABA_28
GABA_29
GABA_3
GABA_30
GABA_31
GABA_32
GABA_33
GABA_4
GABA_5
GABA_6
GABA_7
GABA_8
GABA_9
GLUT_1
GLUT_11
GLUT_13
GLUT_14
GLUT_15
GLUT_16.25
GLUT_17
GLUT_18
GLUT_19
GLUT_2.7
GLUT_20
GLUT_21
GLUT_22.24
GLUT_23
GLUT_26
GLUT_27
GLUT_28
GLUT_3
GLUT_4
GLUT_5
GLUT_6
GLUT_8.10
GLUT_9.12
NonN_1
NonN_10
NonN_11
NonN_12
NonN_13
NonN_2
NonN_3
NonN_4
NonN_5
NonN_6
NonN_7
NonN_8
NonN_9
