ens,symbol,allenGenes
ENSMUSG00000048411,Gm597,Gm597
ENSMUSG00000053185,Gm9898,Gm9898
ENSMUSG00000048874,Phf3,Phf3
ENSMUSG00000026064,Ptp4a1,Ptp4a1
ENSMUSG00000117310,Ptp4a1,Ptp4a1 ENSMUSG00000117310
ENSMUSG00000117091,Gm5698,Gm5698
ENSMUSG00000086727,4931428L18Rik,4931428L18Rik
ENSMUSG00000100237,Gm28644,Gm28644
ENSMUSG00000100910,Gm29128,Gm29128
ENSMUSG00000050217,Lgsn,Lgsn
ENSMUSG00000026063,Pih1d3,Pih1d3
ENSMUSG00000026058,Khdrbs2,Khdrbs2
ENSMUSG00000091318,Gm5415,Gm5415
ENSMUSG00000102917,Gm37724,Gm37724
ENSMUSG00000104230,Gm37591,Gm37591
ENSMUSG00000026134,Prim2,Prim2
ENSMUSG00000004768,Rab23,Rab23
ENSMUSG00000042215,Bag2,Bag2
ENSMUSG00000042197,Zfp451,Zfp451
ENSMUSG00000042182,Bend6,Bend6
ENSMUSG00000026131,Dst,Dst
ENSMUSG00000096992,Gm26788,Gm26788
ENSMUSG00000104397,Gm37958,Gm37958
ENSMUSG00000102336,Gm37233,Gm37233
ENSMUSG00000042111,Ccdc115,Ccdc115
ENSMUSG00000101711,Gm28306,Gm28306
ENSMUSG00000026127,Imp4,Imp4
ENSMUSG00000026126,Ptpn18,Ptpn18
ENSMUSG00000100280,Gm28417,Gm28417
ENSMUSG00000101223,4930568A12Rik,4930568A12Rik
ENSMUSG00000026125,Prss39,Prss39
ENSMUSG00000026124,Cfc1,Cfc1
ENSMUSG00000037529,Prss40,Prss40
ENSMUSG00000045815,1700101I19Rik,1700101I19Rik
ENSMUSG00000045174,Amer3,Amer3
ENSMUSG00000037509,Arhgef4,Arhgef4
ENSMUSG00000118272,Arhgef4,Arhgef4 ENSMUSG00000118272
ENSMUSG00000104002,Gm38336,Gm38336
ENSMUSG00000037503,Fam168b,Fam168b
ENSMUSG00000026123,Plekhb2,Plekhb2
ENSMUSG00000104417,Gm37068,Gm37068
ENSMUSG00000101714,Gm28415,Gm28415
ENSMUSG00000102531,1110002O04Rik,1110002O04Rik
ENSMUSG00000102279,Gm37146,Gm37146
ENSMUSG00000103708,Gm33222,Gm33222
ENSMUSG00000104201,4930535G08Rik,4930535G08Rik
ENSMUSG00000045216,Hs6st1,Hs6st1
ENSMUSG00000104523,Gm37335,Gm37335
ENSMUSG00000102202,Gm33280,Gm33280
ENSMUSG00000037470,Uggt1,Uggt1
ENSMUSG00000047180,Neurl3,Neurl3
ENSMUSG00000037447,Arid5a,Arid5a
ENSMUSG00000102762,4930403P22Rik,4930403P22Rik
ENSMUSG00000010453,Kansl3,Kansl3
ENSMUSG00000037432,Fer1l5,Fer1l5
ENSMUSG00000001143,Lman2l,Lman2l
ENSMUSG00000037408,Cnnm4,Cnnm4
ENSMUSG00000001138,Cnnm3,Cnnm3
ENSMUSG00000102845,Gm38033,Gm38033
ENSMUSG00000067653,Ankrd23,Ankrd23
ENSMUSG00000079610,Ankrd39,Ankrd39
ENSMUSG00000026121,Sema4c,Sema4c
ENSMUSG00000087589,D430040D24Rik,D430040D24Rik
ENSMUSG00000046337,Fam178b,Fam178b
ENSMUSG00000061518,Cox5b,Cox5b
ENSMUSG00000037351,Actr1b,Actr1b
ENSMUSG00000102416,4933424G06Rik,4933424G06Rik
ENSMUSG00000104237,Gm33533,Gm33533
ENSMUSG00000026117,Zap70,Zap70
ENSMUSG00000026116,Tmem131,Tmem131
ENSMUSG00000102930,Gm38115,Gm38115
ENSMUSG00000050122,Vwa3b,Vwa3b
ENSMUSG00000103603,Gm37020,Gm37020
ENSMUSG00000026114,Cnga3,Cnga3
ENSMUSG00000026113,Inpp4a,Inpp4a
ENSMUSG00000086064,4930439A04Rik,4930439A04Rik
ENSMUSG00000026112,Coa5,Coa5
ENSMUSG00000026111,Unc50,Unc50
ENSMUSG00000026110,Mgat4a,Mgat4a
ENSMUSG00000026090,2010300C02Rik,2010300C02Rik
ENSMUSG00000089767,4930556I23Rik,4930556I23Rik
ENSMUSG00000060771,Tsga10,Tsga10
ENSMUSG00000097268,Gm26805,Gm26805
ENSMUSG00000037216,Lipt1,Lipt1
ENSMUSG00000026088,Mitd1,Mitd1
ENSMUSG00000026087,Mrpl30,Mrpl30
ENSMUSG00000061584,Lyg2,Lyg2
ENSMUSG00000087374,Gm15457,Gm15457
ENSMUSG00000026085,Lyg1,Lyg1
ENSMUSG00000058407,Txndc9,Txndc9
ENSMUSG00000026083,Eif5b,Eif5b
ENSMUSG00000026082,Rev1,Rev1
ENSMUSG00000103804,Gm37062,Gm37062
ENSMUSG00000102716,Gm5099,Gm5099
ENSMUSG00000037138,Aff3,Aff3
ENSMUSG00000085391,Gm16150,Gm16150
ENSMUSG00000085280,Gm16151,Gm16151
ENSMUSG00000087131,Gm16152,Gm16152
ENSMUSG00000048814,Lonrf2,Lonrf2
ENSMUSG00000026080,Chst10,Chst10
ENSMUSG00000103647,Gm37707,Gm37707
ENSMUSG00000067604,Nms,Nms
ENSMUSG00000026078,Pdcl3,Pdcl3
ENSMUSG00000104188,Gm37821,Gm37821
ENSMUSG00000026077,Npas2,Npas2
ENSMUSG00000073702,Rpl31,Rpl31
ENSMUSG00000003134,Tbc1d8,Tbc1d8
ENSMUSG00000003135,Cnot11,Cnot11
ENSMUSG00000085894,Gm15832,Gm15832
ENSMUSG00000048234,Rnf149,Rnf149
ENSMUSG00000050967,Creg2,Creg2
ENSMUSG00000097083,D930019O06Rik,D930019O06Rik
ENSMUSG00000057173,Rfx8,Rfx8
ENSMUSG00000091937,Gm3646,Gm3646
ENSMUSG00000101634,1700066B17Rik,1700066B17Rik
ENSMUSG00000026074,Map4k4,Map4k4
ENSMUSG00000026073,Il1r2,Il1r2
ENSMUSG00000097899,Gm16894,Gm16894
ENSMUSG00000026072,Il1r1,Il1r1
ENSMUSG00000070942,Il1rl2,Il1rl2
ENSMUSG00000026069,Il1rl1,Il1rl1
ENSMUSG00000026070,Il18r1,Il18r1
ENSMUSG00000026068,Il18rap,Il18rap
ENSMUSG00000104441,Gm35801,Gm35801
ENSMUSG00000026065,Slc9a4,Slc9a4
ENSMUSG00000026062,Slc9a2,Slc9a2
ENSMUSG00000103679,Gm37623,Gm37623
ENSMUSG00000103270,Gm37915,Gm37915
ENSMUSG00000041945,Mfsd9,Mfsd9
ENSMUSG00000079588,Tmem182,Tmem182
ENSMUSG00000104072,4930448I06Rik,4930448I06Rik
ENSMUSG00000100185,Gm28634,Gm28634
ENSMUSG00000100832,Gm29260,Gm29260
ENSMUSG00000053640,Gm9915,Gm9915
ENSMUSG00000101919,Gm29664,Gm29664
ENSMUSG00000101299,Gm28175,Gm28175
ENSMUSG00000100180,Gm28140,Gm28140
ENSMUSG00000060424,Pantr1,Pantr1
ENSMUSG00000093436,Gm20646,Gm20646
ENSMUSG00000045515,Pou3f3,Pou3f3
ENSMUSG00000097063,Pantr2,Pantr2
ENSMUSG00000099784,Dalir,Dalir
ENSMUSG00000060679,Mrps9,Mrps9
ENSMUSG00000041907,Gpr45,Gpr45
ENSMUSG00000070939,Tgfbrap1,Tgfbrap1
ENSMUSG00000100269,Gm28782,Gm28782
ENSMUSG00000041878,8430432A02Rik,8430432A02Rik
ENSMUSG00000010290,AI597479,AI597479
ENSMUSG00000008136,Fhl2,Fhl2
ENSMUSG00000099576,Gm29040,Gm29040
ENSMUSG00000066877,Nck2,Nck2
ENSMUSG00000026051,Ecrg4,Ecrg4
ENSMUSG00000100764,Gm29155,Gm29155
ENSMUSG00000100635,Gm29157,Gm29157
ENSMUSG00000100480,Gm29156,Gm29156
ENSMUSG00000057363,Uxs1,Uxs1
ENSMUSG00000041763,Tpp2,Tpp2
ENSMUSG00000047343,Mettl21c,Mettl21c
ENSMUSG00000091844,Gm8251,Gm8251
ENSMUSG00000026049,Tex30,Tex30
ENSMUSG00000026047,Poglut2,Poglut2
ENSMUSG00000041684,Bivm,Bivm
ENSMUSG00000026048,Ercc5,Ercc5
ENSMUSG00000046828,Mettl21e,Mettl21e
ENSMUSG00000100769,Gm28893,Gm28893
ENSMUSG00000056870,Gulp1,Gulp1
ENSMUSG00000101701,4930521E06Rik,4930521E06Rik
ENSMUSG00000026043,Col3a1,Col3a1
ENSMUSG00000026042,Col5a2,Col5a2
ENSMUSG00000025995,Wdr75,Wdr75
ENSMUSG00000098549,Gm5269,Gm5269
ENSMUSG00000025993,Slc40a1,Slc40a1
ENSMUSG00000041144,Dnah7b,Dnah7b
ENSMUSG00000101337,Dnah7c,Dnah7c
ENSMUSG00000025986,Slc39a10,Slc39a10
ENSMUSG00000100213,Gm28151,Gm28151
ENSMUSG00000101447,Gm28826,Gm28826
ENSMUSG00000051616,C230029F24Rik,C230029F24Rik
ENSMUSG00000099608,4933411E06Rik,4933411E06Rik
ENSMUSG00000100451,Gm29665,Gm29665
ENSMUSG00000100816,Gm28321,Gm28321
ENSMUSG00000026109,Tmeff2,Tmeff2
ENSMUSG00000100671,Gm28322,Gm28322
ENSMUSG00000101242,Gm28319,Gm28319
ENSMUSG00000099924,Gm28320,Gm28320
ENSMUSG00000099625,Gm29325,Gm29325
ENSMUSG00000101799,9330175M20Rik,9330175M20Rik
ENSMUSG00000045954,Cavin2,Cavin2
ENSMUSG00000101702,1700072G22Rik,1700072G22Rik
ENSMUSG00000026107,Nabp1,Nabp1
ENSMUSG00000099413,Gm17767,Gm17767
ENSMUSG00000101741,Gm28055,Gm28055
ENSMUSG00000018417,Myo1b,Myo1b
ENSMUSG00000101724,Gm29453,Gm29453
