clu.sa2,size,sa1_ratio,AllenAnnot,AllenAnnot_quality,AllenAnnot_ratio,L3Annot,L3Annot_quality,L3Annot_ratio,L2Annot,L2Annot_quality,L2Annot_ratio,class,class_quality,class_ratio,mainclass,mainclass_quality,mainclass_ratio
29-1-8,242,0.89,IC_Tfap2d_Maf_Glut,high,1,ICGL14,high,0.94,ICGL,high,1,Glut,high,1,GLUT,high,1
29-1-1,1206,0.9,IC_Tfap2d_Maf_Glut,high,1,ICGL6,medium,0.59,ICGL,high,1,Glut,high,1,GLUT,high,1
29-1-3,719,0.89,IC_Tfap2d_Maf_Glut,high,1,ICGL5,high,0.92,ICGL,high,1,Glut,high,1,GLUT,high,1
29-1-6,341,0.93,IC_Tfap2d_Maf_Glut,high,1,ICGL12,high,0.98,ICGL,high,1,Glut,high,1,GLUT,high,1
29-1-7,273,0.85,IC_Tfap2d_Maf_Glut,high,1,ICGL13,high,0.99,ICGL,high,1,Glut,high,1,GLUT,high,1
29-1-5,408,0.91,IC_Tfap2d_Maf_Glut,high,1,ICGL11,high,0.96,ICGL,high,1,Glut,high,1,GLUT,high,1
29-2-2,1338,0.85,IC_Tfap2d_Maf_Glut,high,1,ICGL4,medium,0.64,ICGL,high,1,Glut,high,1,GLUT,high,1
29-2-1,3238,0.9,IC_Tfap2d_Maf_Glut,high,1,ICGL1,medium,0.44,ICGL,high,1,Glut,high,1,GLUT,high,1
29-2-3,102,0.86,IC_Tfap2d_Maf_Glut,high,1,ICGL16,high,0.99,ICGL,high,1,Glut,high,1,GLUT,high,1
3-1-1,117348,0.97,Astro-TE_NN,high,0.98,ASCTE1,high,0.9,ASCTE1,high,0.9,NN,high,1,NN,high,1
3-1-2,23587,0.98,Astro-TE_NN,high,0.83,ASCTE1,high,0.79,ASCTE1,high,0.79,NN,high,1,NN,high,1
3-2-2,5950,0.96,MOB-STR-CTX_Inh_IMN,high,0.91,RGSZ,high,0.83,RGL,high,0.91,NN,high,0.99,NN,high,0.99
